sport,league,game_id,a_team,h_team,cur_time,lms_date,lms_time,quarter,secs,a_pts,h_pts,status,a_win,h_win,last_mod_to_start,last_mod_lines,num_markets,a_odds_ml,h_odds_ml,a_deci_ml,h_deci_ml,a_odds_ps,h_odds_ps,a_deci_ps,h_deci_ps,a_hcap_ps,h_hcap_ps,a_odds_tot,h_odds_tot,a_deci_tot,h_deci_tot,a_hcap_tot,h_hcap_tot,game_start_time
BASK,NBA,4253821,Sacramento Kings,Golden State Warriors,1550780173.8128428,2019-02-20,07:09:59-0500,0,-1,0,0,0,0,0,-26092.049999952316,1550780107.95,128,+600,-1000,7.00,1.100,-110,-110,1.909091,1.909091,12.5,-12.5,-105,-115,1.952381,1.870,239.0,239.0,1550806200.0
BASK,NBA,4253803,Houston Rockets,Los Angeles Lakers,1550780173.812959,2019-02-20,07:09:29-0500,0,-1,0,0,0,0,0,-26159.233999967575,1550780040.766,128,-145,+125,1.690,2.250,-115,-105,1.870,1.952381,-3.0,3.0,-110,-110,1.909091,1.909091,233.0,233.0,1550806200.0
BASK,NBA,4253789,Boston Celtics,Milwaukee Bucks,1550780173.8130286,2019-02-20,07:09:04-0500,0,-1,0,0,0,0,0,-17084.944000005722,1550780115.056,129,+185,-225,2.850,1.444444,-105,-115,1.952381,1.870,5.5,-5.5,-110,-110,1.909091,1.909091,228.0,228.0,1550797200.0
BASK,NBA,4253800,Portland Trail Blazers,Brooklyn Nets,1550780173.8130913,2019-02-20,07:09:24-0500,0,-1,0,0,0,0,0,-15359.279000043869,1550780040.721,95,-150,+130,1.666667,2.300,-110,-110,1.909091,1.909091,-2.5,2.5,-105,-115,1.952381,1.870,231.0,231.0,1550795400.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550780173.8131597,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-13549.542999982834,1550780050.457,52,0,0,0,0,-115,-105,1.870,1.952381,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,3952101,Miami Heat,Philadelphia 76ers,1550780173.8132234,2019-02-18,02:25:12-0500,0,-1,0,0,0,0,0,-14435.548000097275,1550779164.452,115,+200,-240,3.00,1.416667,-110,-110,1.909091,1.909091,6.0,-6.0,-115,-105,1.870,1.952381,219.0,219.0,1550793600.0
BASK,NBA,3952101,Miami Heat,Philadelphia 76ers,1550780208.4966233,2019-02-18,02:25:12-0500,0,-1,0,0,0,0,0,-13413.84400010109,1550780186.156,115,+200,-240,3.00,1.416667,-110,-110,1.909091,1.909091,6.0,-6.0,-115,-105,1.870,1.952381,219.0,219.0,1550793600.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550780243.9748435,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-13387.763000011444,1550780212.237,52,0,0,0,0,-115,-105,1.870,1.952381,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550780279.3840325,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-13346.864000082016,1550780253.136,52,0,0,0,0,-115,-105,1.870,1.952381,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,3952101,Miami Heat,Philadelphia 76ers,1550780279.3841255,2019-02-18,02:25:12-0500,0,-1,0,0,0,0,0,-13347.755000114441,1550780252.245,115,+200,-240,3.00,1.416667,-110,-110,1.909091,1.909091,6.0,-6.0,-115,-105,1.870,1.952381,219.0,219.0,1550793600.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550780316.377619,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-13302.361000061035,1550780297.639,52,0,0,0,0,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,4253789,Boston Celtics,Milwaukee Bucks,1550780382.5300658,2019-02-20,07:09:04-0500,0,-1,0,0,0,0,0,-16861.082999944687,1550780338.917,129,+185,-225,2.850,1.444444,-105,-115,1.952381,1.870,5.5,-5.5,-110,-110,1.909091,1.909091,228.0,228.0,1550797200.0
BASK,NBA,3952101,Miami Heat,Philadelphia 76ers,1550780382.5301688,2019-02-18,02:25:12-0500,0,-1,0,0,0,0,0,-13262.806999921799,1550780337.193,115,+200,-240,3.00,1.416667,-110,-110,1.909091,1.909091,6.0,-6.0,-115,-105,1.870,1.952381,219.0,219.0,1550793600.0
BASK,NBA,4253789,Boston Celtics,Milwaukee Bucks,1550780417.9113736,2019-02-20,07:09:04-0500,0,-1,0,0,0,0,0,-16822.947999954224,1550780377.052,129,+185,-225,2.850,1.444444,-105,-115,1.952381,1.870,5.5,-5.5,-110,-110,1.909091,1.909091,228.0,228.0,1550797200.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550780417.9114695,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-13205.259000062943,1550780394.741,52,0,0,0,0,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550780515.1133127,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-13109.571000099182,1550780490.429,52,0,0,0,0,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550780550.6686714,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-13068.723999977112,1550780531.276,54,100,-120,2.00,1.833333,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,4253803,Houston Rockets,Los Angeles Lakers,1550780652.1166635,2019-02-20,07:09:29-0500,0,-1,0,0,0,0,0,-25563.046999931335,1550780636.953,128,-145,+125,1.690,2.250,-115,-105,1.870,1.952381,-3.0,3.0,-110,-110,1.909091,1.909091,233.0,233.0,1550806200.0
BASK,NBA,4253789,Boston Celtics,Milwaukee Bucks,1550780652.116755,2019-02-20,07:09:04-0500,0,-1,0,0,0,0,0,-16567.90300011635,1550780632.097,129,+185,-225,2.850,1.444444,-105,-115,1.952381,1.870,5.5,-5.5,-110,-110,1.909091,1.909091,228.0,228.0,1550797200.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550780652.1168272,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-12968.025000095367,1550780631.975,54,100,-120,2.00,1.833333,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,4253803,Houston Rockets,Los Angeles Lakers,1550780683.0316885,2019-02-20,07:09:29-0500,0,-1,0,0,0,0,0,-25534.992000102997,1550780665.008,128,-145,+125,1.690,2.250,-115,-105,1.870,1.952381,-3.0,3.0,-110,-110,1.909091,1.909091,233.0,233.0,1550806200.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550780718.0693693,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-12929.082999944687,1550780670.917,54,100,-120,2.00,1.833333,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,4253803,Houston Rockets,Los Angeles Lakers,1550780753.1926048,2019-02-20,07:09:29-0500,0,-1,0,0,0,0,0,-25486.522000074387,1550780713.478,128,-145,+125,1.690,2.250,-115,-105,1.870,1.952381,-3.0,3.0,-110,-110,1.909091,1.909091,233.0,233.0,1550806200.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550780788.5651708,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-12853.388000011444,1550780746.612,54,100,-120,2.00,1.833333,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,4253789,Boston Celtics,Milwaukee Bucks,1550780824.591553,2019-02-20,07:09:04-0500,0,-1,0,0,0,0,0,-16406.698999881744,1550780793.301,129,+185,-225,2.850,1.444444,-105,-115,1.952381,1.870,5.5,-5.5,-110,-110,1.909091,1.909091,228.0,228.0,1550797200.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550780890.6536808,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-12738.292999982834,1550780861.707,54,100,-120,2.00,1.833333,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550780955.130001,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-12657.713999986649,1550780942.286,54,100,-120,2.00,1.833333,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550780989.9635122,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-12631.559000015259,1550780968.441,76,100,-120,2.00,1.833333,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,4253789,Boston Celtics,Milwaukee Bucks,1550781055.4224422,2019-02-20,07:09:04-0500,0,-1,0,0,0,0,0,-16190.055999994278,1550781009.944,129,+185,-225,2.850,1.444444,-105,-115,1.952381,1.870,5.5,-5.5,-110,-110,1.909091,1.909091,228.0,228.0,1550797200.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550781091.8290434,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-12554.490999937057,1550781045.509,76,100,-120,2.00,1.833333,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,3954246,Minnesota Timberwolves,New York Knicks,1550781162.427868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550881800.0
BASK,NBA,3954245,Detroit Pistons,Atlanta Hawks,1550781162.4278996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550881800.0
BASK,NBA,3954210,Washington Wizards,Charlotte Hornets,1550781162.427927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550880000.0
BASK,NBA,3954209,San Antonio Spurs,Toronto Raptors,1550781162.4279497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550880000.0
BASK,NBA,3954211,New Orleans Pelicans,Indiana Pacers,1550781162.427971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550880000.0
BASK,NBA,3954208,Chicago Bulls,Orlando Magic,1550781162.4279919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550880000.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550781162.4280183,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-12467.457999944687,1550781132.542,76,100,-120,2.00,1.833333,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,3954246,Minnesota Timberwolves,New York Knicks,1550781172.766704,2019-02-20,08:33:08-0500,0,-1,0,0,0,0,0,-100659.53099989891,1550781140.469,8,0,0,0,0,-110,-110,1.909091,1.909091,-7.0,7.0,-110,-110,1.909091,1.909091,220.0,220.0,1550881800.0
BASK,NBA,3954245,Detroit Pistons,Atlanta Hawks,1550781172.7667966,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-100659.5529999733,1550781140.447,8,0,0,0,0,-110,-110,1.909091,1.909091,-4.0,4.0,-115,-105,1.870,1.952381,223.0,223.0,1550881800.0
BASK,NBA,3954210,Washington Wizards,Charlotte Hornets,1550781172.7668672,2019-02-20,08:33:08-0500,0,-1,0,0,0,0,0,-98859.59599995613,1550781140.404,8,0,0,0,0,-110,-110,1.909091,1.909091,4.0,-4.0,-110,-110,1.909091,1.909091,230.0,230.0,1550880000.0
BASK,NBA,3954209,San Antonio Spurs,Toronto Raptors,1550781172.7669303,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98859.61599993706,1550781140.384,8,0,0,0,0,-110,-110,1.909091,1.909091,8.5,-8.5,-115,-105,1.870,1.952381,227.0,227.0,1550880000.0
BASK,NBA,3954211,New Orleans Pelicans,Indiana Pacers,1550781172.7669919,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98859.57500004768,1550781140.425,8,0,0,0,0,-110,-110,1.909091,1.909091,4.5,-4.5,-115,-105,1.870,1.952381,220.0,220.0,1550880000.0
BASK,NBA,3954208,Chicago Bulls,Orlando Magic,1550781172.7670655,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98859.64199995995,1550781140.358,8,0,0,0,0,-110,-110,1.909091,1.909091,8.0,-8.0,-115,-105,1.870,1.952381,216.0,216.0,1550880000.0
BASK,NBA,3954362,Utah Jazz,Oklahoma City Thunder,1550781238.456573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550889000.0
BASK,NBA,3954307,Denver Nuggets,Dallas Mavericks,1550781238.456645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550885400.0
BASK,NBA,3954273,Los Angeles Clippers,Memphis Grizzlies,1550781238.4567099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550883600.0
BASK,NBA,3954210,Washington Wizards,Charlotte Hornets,1550781238.4567678,2019-02-20,08:33:08-0500,0,-1,0,0,0,0,0,-98786.47799992561,1550781213.522,8,0,0,0,0,-110,-110,1.909091,1.909091,4.5,-4.5,-110,-110,1.909091,1.909091,230.0,230.0,1550880000.0
BASK,NBA,4253789,Boston Celtics,Milwaukee Bucks,1550781238.4568503,2019-02-20,07:09:04-0500,0,-1,0,0,0,0,0,-16009.974999904633,1550781190.025,129,+185,-225,2.850,1.444444,-105,-115,1.952381,1.870,5.5,-5.5,-110,-110,1.909091,1.909091,228.0,228.0,1550797200.0
BASK,NBA,3954362,Utah Jazz,Oklahoma City Thunder,1550781250.4888937,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-107798.72199988365,1550781201.278,8,0,0,0,0,-110,-110,1.909091,1.909091,3.5,-3.5,-110,-110,1.909091,1.909091,226.0,226.0,1550889000.0
BASK,NBA,3954307,Denver Nuggets,Dallas Mavericks,1550781250.4889975,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-104198.74699997902,1550781201.253,8,0,0,0,0,-110,-110,1.909091,1.909091,-4.0,4.0,-110,-110,1.909091,1.909091,219.0,219.0,1550885400.0
BASK,NBA,3954273,Los Angeles Clippers,Memphis Grizzlies,1550781250.4890661,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-102398.75999999046,1550781201.24,8,0,0,0,0,-110,-110,1.909091,1.909091,-2.0,2.0,-105,-115,1.952381,1.870,214.0,214.0,1550883600.0
BASK,NBA,3954246,Minnesota Timberwolves,New York Knicks,1550781275.9089556,2019-02-20,08:33:08-0500,0,-1,0,0,0,0,0,-100550.22699999809,1550781249.773,8,0,0,0,0,-110,-110,1.909091,1.909091,-7.0,7.0,-110,-110,1.909091,1.909091,220.0,220.0,1550881800.0
BASK,NBA,3954210,Washington Wizards,Charlotte Hornets,1550781275.9090123,2019-02-20,08:33:08-0500,0,-1,0,0,0,0,0,-98759.34800004959,1550781240.652,16,0,0,0,0,-110,-110,1.909091,1.909091,4.5,-4.5,-110,-110,1.909091,1.909091,230.0,230.0,1550880000.0
BASK,NBA,3954209,San Antonio Spurs,Toronto Raptors,1550781275.909048,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98757.39599990845,1550781242.604,8,0,0,0,0,-110,-110,1.909091,1.909091,8.5,-8.5,-115,-105,1.870,1.952381,227.0,227.0,1550880000.0
BASK,NBA,3954211,New Orleans Pelicans,Indiana Pacers,1550781275.9090862,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98770.20700001717,1550781229.793,8,0,0,0,0,-110,-110,1.909091,1.909091,4.5,-4.5,-115,-105,1.870,1.952381,220.0,220.0,1550880000.0
BASK,NBA,3954208,Chicago Bulls,Orlando Magic,1550781275.9091237,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98764.36100006104,1550781235.639,8,0,0,0,0,-110,-110,1.909091,1.909091,8.0,-8.0,-115,-105,1.870,1.952381,216.0,216.0,1550880000.0
BASK,NBA,4253789,Boston Celtics,Milwaukee Bucks,1550781275.9091582,2019-02-20,07:09:04-0500,0,-1,0,0,0,0,0,-15965.066999912262,1550781234.933,130,+185,-225,2.850,1.444444,-105,-115,1.952381,1.870,5.5,-5.5,-110,-110,1.909091,1.909091,228.0,228.0,1550797200.0
BASK,NBA,3952101,Miami Heat,Philadelphia 76ers,1550781275.9091945,2019-02-18,02:25:12-0500,0,-1,0,0,0,0,0,-12384.220999956131,1550781215.779,115,+200,-240,3.00,1.416667,-110,-110,1.909091,1.909091,6.0,-6.0,-115,-105,1.870,1.952381,219.0,219.0,1550793600.0
BASK,NBA,3954273,Los Angeles Clippers,Memphis Grizzlies,1550781314.1126823,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-102335.78500008583,1550781264.215,8,0,0,0,0,-110,-110,1.909091,1.909091,-2.0,2.0,-105,-115,1.952381,1.870,214.0,214.0,1550883600.0
BASK,NBA,3954245,Detroit Pistons,Atlanta Hawks,1550781314.1127768,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-100544.08100008965,1550781255.919,8,0,0,0,0,-110,-110,1.909091,1.909091,-4.0,4.0,-115,-105,1.870,1.952381,223.0,223.0,1550881800.0
BASK,NBA,3954210,Washington Wizards,Charlotte Hornets,1550781314.1128457,2019-02-20,08:33:08-0500,0,-1,0,0,0,0,0,-98727.23600006104,1550781272.764,16,0,0,0,0,-110,-110,1.909091,1.909091,4.5,-4.5,-110,-110,1.909091,1.909091,230.0,230.0,1550880000.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550781314.1129396,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-12318.632999897003,1550781281.367,75,100,-120,2.00,1.833333,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,3952101,Miami Heat,Philadelphia 76ers,1550781314.1130028,2019-02-18,02:25:12-0500,0,-1,0,0,0,0,0,-12337.28299999237,1550781262.717,115,+200,-240,3.00,1.416667,-110,-110,1.909091,1.909091,6.0,-6.0,-115,-105,1.870,1.952381,219.0,219.0,1550793600.0
BASK,NBA,3954362,Utah Jazz,Oklahoma City Thunder,1550781352.8809786,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-107683.41499996185,1550781316.585,8,0,0,0,0,-110,-110,1.909091,1.909091,3.5,-3.5,-110,-110,1.909091,1.909091,226.0,226.0,1550889000.0
BASK,NBA,4253800,Portland Trail Blazers,Brooklyn Nets,1550781352.8811042,2019-02-20,07:09:24-0500,0,-1,0,0,0,0,0,-14083.237999916077,1550781316.762,95,-150,+130,1.666667,2.300,-110,-110,1.909091,1.909091,-2.5,2.5,-105,-115,1.952381,1.870,231.0,231.0,1550795400.0
BASK,NBA,3954362,Utah Jazz,Oklahoma City Thunder,1550781390.522101,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-107636.58999991417,1550781363.41,8,0,0,0,0,-110,-110,1.909091,1.909091,3.5,-3.5,-110,-110,1.909091,1.909091,226.0,226.0,1550889000.0
BASK,NBA,3954307,Denver Nuggets,Dallas Mavericks,1550781390.5221944,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-104036.05200004578,1550781363.948,8,0,0,0,0,-110,-110,1.909091,1.909091,-4.0,4.0,-110,-110,1.909091,1.909091,219.0,219.0,1550885400.0
BASK,NBA,3954273,Los Angeles Clippers,Memphis Grizzlies,1550781390.5222628,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-102236.5,1550781363.5,8,0,0,0,0,-110,-110,1.909091,1.909091,-2.0,2.0,-105,-115,1.952381,1.870,214.0,214.0,1550883600.0
BASK,NBA,3954246,Minnesota Timberwolves,New York Knicks,1550781390.5223289,2019-02-20,08:33:08-0500,0,-1,0,0,0,0,0,-100436.74300003052,1550781363.257,8,0,0,0,0,-110,-110,1.909091,1.909091,-7.0,7.0,-110,-110,1.909091,1.909091,220.0,220.0,1550881800.0
BASK,NBA,3954245,Detroit Pistons,Atlanta Hawks,1550781390.5223916,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-100436.11500000954,1550781363.885,8,0,0,0,0,-110,-110,1.909091,1.909091,-4.0,4.0,-115,-105,1.870,1.952381,223.0,223.0,1550881800.0
BASK,NBA,3954210,Washington Wizards,Charlotte Hornets,1550781390.5224533,2019-02-20,08:33:08-0500,0,-1,0,0,0,0,0,-98636.10400009155,1550781363.896,13,0,0,0,0,-110,-110,1.909091,1.909091,4.5,-4.5,-110,-110,1.909091,1.909091,230.0,230.0,1550880000.0
BASK,NBA,3954209,San Antonio Spurs,Toronto Raptors,1550781390.5225134,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98636.4849998951,1550781363.515,8,0,0,0,0,-110,-110,1.909091,1.909091,8.5,-8.5,-115,-105,1.870,1.952381,227.0,227.0,1550880000.0
BASK,NBA,3954211,New Orleans Pelicans,Indiana Pacers,1550781390.522573,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98639.23300004005,1550781360.767,10,0,0,0,0,-110,-110,1.909091,1.909091,4.5,-4.5,-115,-105,1.870,1.952381,220.0,220.0,1550880000.0
BASK,NBA,3954208,Chicago Bulls,Orlando Magic,1550781390.5226333,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98635.90300011635,1550781364.097,8,0,0,0,0,-110,-110,1.909091,1.909091,8.0,-8.0,-115,-105,1.870,1.952381,216.0,216.0,1550880000.0
BASK,NBA,4253800,Portland Trail Blazers,Brooklyn Nets,1550781390.5227003,2019-02-20,07:09:24-0500,0,-1,0,0,0,0,0,-14035.993999958038,1550781364.006,95,-150,+130,1.666667,2.300,-110,-110,1.909091,1.909091,-2.5,2.5,-105,-115,1.952381,1.870,231.0,231.0,1550795400.0
BASK,NBA,3952102,Phoenix Suns,Cleveland Cavaliers,1550781390.5227602,2019-02-18,04:26:56-0500,0,-1,0,0,0,0,0,-12236.352999925613,1550781363.647,74,100,-120,2.00,1.833333,-110,-110,1.909091,1.909091,1.0,-1.0,-110,-110,1.909091,1.909091,221.0,221.0,1550793600.0
BASK,NBA,3954362,Utah Jazz,Oklahoma City Thunder,1550781427.65245,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-107629.18400001526,1550781370.816,10,0,0,0,0,-110,-110,1.909091,1.909091,3.5,-3.5,-110,-110,1.909091,1.909091,226.0,226.0,1550889000.0
BASK,NBA,3954307,Denver Nuggets,Dallas Mavericks,1550781427.6524918,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-104029.17899990082,1550781370.821,10,0,0,0,0,-110,-110,1.909091,1.909091,-4.0,4.0,-110,-110,1.909091,1.909091,219.0,219.0,1550885400.0
BASK,NBA,3954273,Los Angeles Clippers,Memphis Grizzlies,1550781427.6525116,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-102229.20300006866,1550781370.797,10,0,0,0,0,-110,-110,1.909091,1.909091,-2.0,2.0,-105,-115,1.952381,1.870,214.0,214.0,1550883600.0
BASK,NBA,3954246,Minnesota Timberwolves,New York Knicks,1550781427.6525302,2019-02-20,08:33:08-0500,0,-1,0,0,0,0,0,-100429.19000005722,1550781370.81,10,0,0,0,0,-110,-110,1.909091,1.909091,-7.0,7.0,-110,-110,1.909091,1.909091,220.0,220.0,1550881800.0
BASK,NBA,3954245,Detroit Pistons,Atlanta Hawks,1550781427.652548,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-100429.19600009918,1550781370.804,10,0,0,0,0,-110,-110,1.909091,1.909091,-4.0,4.0,-115,-105,1.870,1.952381,223.0,223.0,1550881800.0
BASK,NBA,3954210,Washington Wizards,Charlotte Hornets,1550781427.6525683,2019-02-20,08:33:08-0500,0,-1,0,0,0,0,0,-98625.60199999809,1550781374.398,12,0,0,0,0,-110,-110,1.909091,1.909091,4.5,-4.5,-110,-110,1.909091,1.909091,230.0,230.0,1550880000.0
BASK,NBA,3954209,San Antonio Spurs,Toronto Raptors,1550781427.6525886,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98611.53900003433,1550781388.461,10,0,0,0,0,-110,-110,1.909091,1.909091,8.5,-8.5,-115,-105,1.870,1.952381,227.0,227.0,1550880000.0
BASK,NBA,3954211,New Orleans Pelicans,Indiana Pacers,1550781427.6526055,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98599.71199989319,1550781400.288,15,0,0,0,0,-110,-110,1.909091,1.909091,5.5,-5.5,-115,-105,1.870,1.952381,220.0,220.0,1550880000.0
BASK,NBA,3954208,Chicago Bulls,Orlando Magic,1550781427.6526227,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98611.57899999619,1550781388.421,10,0,0,0,0,-110,-110,1.909091,1.909091,8.0,-8.0,-115,-105,1.870,1.952381,216.0,216.0,1550880000.0
BASK,NBA,3954246,Minnesota Timberwolves,New York Knicks,1550781464.7670135,2019-02-20,08:33:08-0500,0,-1,0,0,0,0,0,-100374.71300005913,1550781425.287,10,0,0,0,0,-110,-110,1.909091,1.909091,-6.5,6.5,-110,-110,1.909091,1.909091,220.0,220.0,1550881800.0
BASK,NBA,3954209,San Antonio Spurs,Toronto Raptors,1550781464.7670498,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98569.05900001526,1550781430.941,15,0,0,0,0,-110,-110,1.909091,1.909091,8.5,-8.5,-115,-105,1.870,1.952381,227.0,227.0,1550880000.0
BASK,NBA,3954211,New Orleans Pelicans,Indiana Pacers,1550781464.7670758,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98569.38400006294,1550781430.616,9,0,0,0,0,-110,-110,1.909091,1.909091,5.5,-5.5,-115,-105,1.870,1.952381,220.0,220.0,1550880000.0
BASK,NBA,3954208,Chicago Bulls,Orlando Magic,1550781464.7670991,2019-02-20,08:33:49-0500,0,-1,0,0,0,0,0,-98572.85700011253,1550781427.143,10,0,0,0,0,-110,-110,1.909091,1.909091,8.0,-8.0,-115,-105,1.870,1.952381,216.0,216.0,1550880000.0
BASK,NBA,4253803,Houston Rockets,Los Angeles Lakers,1550781464.7671223,2019-02-20,07:09:29-0500,0,-1,0,0,0,0,0,-24779.355000019073,1550781420.645,128,-145,+125,1.690,2.250,-115,-105,1.870,1.952381,-3.0,3.0,-110,-110,1.909091,1.909091,233.0,233.0,1550806200.0
BASK,NBA,4253789,Boston Celtics,Milwaukee Bucks,1550781464.7671483,2019-02-20,07:09:04-0500,0,-1,0,0,0,0,0,-15773.105999946594,1550781426.894,129,+185,-225,2.850,1.444444,-105,-115,1.952381,1.870,5.5,-5.5,-110,-110,1.909091,1.909091,228.0,228.0,1550797200.0
